delta;t_regular_lambda_re;t_regular_lambda_im;r_regular_lambda_re;r_regular_lambda_im;t_random_lambda_re;t_random_lambda_im;r_random_lambda_re;r_random_lambda_im;t_regular_dualv_re;t_regular_dualv_im;r_regular_dualv_re;r_regular_dualv_im;t_random_dualv_re;t_random_dualv_im;r_random_dualv_re;r_random_dualv_im
-0.02;-0.22439298546727443;0.6834400406863298;-0.28694015137973927;-0.067931969067172623;0.25278178958939151;0.70861304858257912;-0.14238872931760047;0.042356028945760293;-0.22439298546656189;0.68344004068385966;-0.28680314022851716;-0.068505575347943881;-0.2024054676848655;0.68076460101440772;-0.28842278891594214;-0.05753408409508301
-0.019996;-0.22713269218170457;0.68253792090744847;-0.28647011879424894;-0.068656984729216525;0.2501719015631137;0.70944970000829444;-0.14271397887111856;0.042044969019325577;-0.22713269218169865;0.68253792090715248;-0.28633168741832049;-0.069229533571621121;-0.20513620876480473;0.67997278782648052;-0.28803824719049403;-0.058288291808559725
-0.019991999999999999;-0.22987175802780541;0.68162481274164;-0.28599372342475043;-0.069378511087452688;0.24755759626304638;0.71027742841773489;-0.14303716174904227;0.041731555538900816;-0.22987175802685775;0.68162481273833653;-0.28585387940352808;-0.069949990163174033;-0.20786682070609652;0.67917009978854281;-0.28764715124437817;-0.059039730151490818
-0.019987999999999999;-0.23261014981459441;0.68070068893654345;-0.28551097922016427;-0.070096490855267882;0.24493889985930711;0.71109620890767478;-0.1433582579429987;0.041415800537093074;-0.23261014981326775;0.68070068893233082;-0.28536973024380258;-0.070666887872095949;-0.21059727183806995;0.67835650830689997;-0.28724950885072087;-0.059788341150409284
-0.019984000000000002;-0.23534783402768603;0.67976552211631436;-0.28502190059877602;-0.070810866650458451;0.24231583862850317;0.71190601661669139;-0.14367724749222865;0.041097716215629382;-0.23534783402796489;0.67976552211667152;-0.28487925446734841;-0.071380169352501716;-0.213327530182954;0.67753198464624809;-0.28684532824401598;-0.060534066686603036
-0.019980000000000001;-0.2380847768324332;0.67881928480554432;-0.28452650245394323;-0.071521580999880874;0.23968843895384778;0.71270682672523822;-0.14399411048489599;0.040777314945449478;-0.2380847768318326;0.67881928480351506;-0.28438246707866111;-0.072089777169443592;-0.21605756345369259;0.67669649994136882;-0.28643461812849508;-0.061276848501889018
-0.019976000000000001;-0.24082094405897778;0.67786194940055378;-0.28402480015859011;-0.072228576343284459;0.23705672732526181;0.71349861445568197;-0.14430882705941023;0.040454609266782508;-0.24082094405787993;0.67786194939696598;-0.28387938355943371;-0.072795653799652318;-0.21878733905193865;0.67585002520385329;-0.28601738767910145;-0.062016628199311814
-0.019972;-0.2435563012037982;0.67689348818664064;-0.28351680956329733;-0.072931795031554114;0.23442073033953673;0.71428135507235435;-0.1446213774057403;0.040129611889226834;-0.24355630120375216;0.67689348818615069;-0.28337001987306548;-0.073497741635451933;-0.2215168240608193;0.67499253131484349;-0.28559364654642422;-0.062753347246708793
-0.019968;-0.24629081342675543;0.67591387334584674;-0.28300254700639954;-0.073631179335481037;0.23178047470048288;0.71505502388161291;-0.14493174176675028;0.039802335691813434;-0.2462908134251755;0.67591387334095732;-0.28285439246644911;-0.07419598298611943;-0.22424598523859421;0.67412398902024462;-0.28516340485853009;-0.063486946978163483
-0.019963999999999999;-0.24902444554036113;0.67492307693920517;-0.28248202931162147;-0.074326671443623177;0.22913598721900463;0.71581959623188696;-0.14523990043952537;0.039472793723057301;-0.2490244455402629;0.67492307693880171;-0.28233251827641409;-0.074890320083713879;-0.22697478902202206;0.67324436895708284;-0.28472667322804424;-0.0642173685990787
