delta;qdRe1;qdRe2;qdRe3;qdRe4;qdIm1;qdIm2;qdIm3;qdIm4
1.1643031329208755e-06;0.00027787908401616563;8.0407919726112379e-06;-8.0407919726149597e-06;-0.00027787908401616379;1.3906706839043696e-06;2.0110033234627164e-08;-2.0110033248751345e-08;-1.3906706839049473e-06
1.1805165285688055e-06;0.0002778798951823193;8.0965722623469846e-06;-8.096572262351567e-06;-0.00027787989518231909;1.3906707403836717e-06;2.0249599297352654e-08;-2.0249599297596828e-08;-1.3906707403825862e-06
1.1969557023590428e-06;0.00027788071763948878;8.1527393438211501e-06;-8.1527393438207165e-06;-0.0002778807176394877;1.3906707976223044e-06;2.0390132551703702e-08;-2.0390132558811308e-08;-1.3906707976226037e-06
1.2136237983442419e-06;0.0002778815515447689;8.2092958953014391e-06;-8.2092958953089218e-06;-0.00027788155154476917;1.390670855739808e-06;2.0531641488105849e-08;-2.0531641375637886e-08;-1.3906708556291457e-06
1.2305240043592616e-06;0.00027788239705744163;8.2662446142340708e-06;-8.266244614229346e-06;-0.00027788239705744288;1.3906709146389509e-06;2.0674134875309197e-08;-2.0674134893550048e-08;-1.3906709146390324e-06
1.2476595526308684e-06;0.00027788325433900454;8.3235882159055963e-06;-8.323588215896633e-06;-0.000277883254339004;1.390670974439132e-06;2.0817617410973933e-08;-2.0817617404275318e-08;-1.3906709744381191e-06
1.2650337203959037e-06;0.00027788412355319301;8.3813294351508403e-06;-8.3813294351562986e-06;-0.00027788412355319296;1.3906710351515087e-06;2.0962095978693604e-08;-2.0962095873398846e-08;-1.3906710350408026e-06
1.28264983052806e-06;0.00027788500486602676;8.4394710250725057e-06;-8.4394710250716231e-06;-0.00027788500486602708;1.3906710966796682e-06;2.1107579349164588e-08;-2.110757936173274e-08;-1.39067109667858e-06
1.3005112521734099e-06;0.00027788589844582968;8.4980157579859202e-06;-8.4980157579851257e-06;-0.0002778858984458305;1.3906711591423519e-06;2.1254072595261446e-08;-2.1254072619961056e-08;-1.3906711591395783e-06
1.3186214013947485e-06;0.00027788680446326513;8.5569664249118095e-06;-8.5569664249214708e-06;-0.00027788680446326405;1.3906712224388165e-06;2.140158074422836e-08;-2.140158074048822e-08;-1.3906712224388462e-06
1.3369837418249452e-06;0.00027788772309136602;8.6163258371425764e-06;-8.6163258371459154e-06;-0.00027788772309136754;1.3906712866963345e-06;2.1550112988856938e-08;-2.1550112878598765e-08;-1.3906712865862697e-06
1.355601785329369e-06;0.00027788865450557724;8.6760968243427122e-06;-8.676096824335216e-06;-0.00027788865450557686;1.3906713518152927e-06;2.1699677816428898e-08;-2.1699677822378924e-08;-1.3906713518162954e-06
1.3744790926775367e-06;0.00027788959888377463;8.736282235961809e-06;-8.7362822359634794e-06;-0.0002778895988837762;1.3906714179156442e-06;2.1850280613034514e-08;-2.1850280607061211e-08;-1.3906714179175764e-06
1.3936192742241435e-06;0.00027789055640631212;8.7968849414627365e-06;-8.7968849414640782e-06;-0.00027789055640631266;1.3906714850140735e-06;2.2001928765360582e-08;-2.2001928664858257e-08;-1.3906714849023247e-06
1.4130259905995336e-06;0.00027789152725604471;8.8579078295184213e-06;-8.8579078295167899e-06;-0.00027789152725604324;1.3906715530057481e-06;2.2154630977719358e-08;-2.2154630990466969e-08;-1.3906715530050393e-06
1.4327029534098294e-06;0.00027789251161837084;8.9193538089211736e-06;-8.919353808927711e-06;-0.00027789251161837176;1.3906716221310545e-06;2.23083947005735e-08;-2.2308394589150104e-08;-1.3906716220213457e-06
1.4526539259467812e-06;0.00027789350968127015;8.9812258088814666e-06;-8.981225808886891e-06;-0.00027789350968126982;1.3906716920669879e-06;2.246322516295462e-08;-2.2463225290844627e-08;-1.3906716921793172e-06
