delta;qdRe1;qdRe2;qdIm1;qdIm2
1.691329517029647e-06;1.5356943772659923e-06;-1.5356943772666089e-06;1.9283772328749346e-09;-1.9283772332546668e-09
1.7148819698705409e-06;1.5516794709460716e-06;-1.5516794709471571e-06;1.9495268538140961e-09;-1.9495268514759469e-09
1.7387624002162504e-06;1.5678279442121479e-06;-1.5678279442143936e-06;1.9709038654859546e-09;-1.9709038619694402e-09
1.7629753752872039e-06;1.5841414355705536e-06;-1.5841414355714883e-06;1.9925106648277195e-09;-1.9925106620239077e-09
1.7875255259042354e-06;1.6006215995970778e-06;-1.6006215995964815e-06;2.0143496907995245e-09;-2.0143496925033449e-09
1.8124175473742357e-06;1.6172701070807593e-06;-1.6172701070814046e-06;2.0364234100444977e-09;-2.036423409337509e-09
1.8376562003881725e-06;1.6340886452009151e-06;-1.6340886452011133e-06;2.0587342994845276e-09;-2.0587342990970799e-09
1.8632463119315598e-06;1.6510789176758402e-06;-1.6510789176755126e-06;2.0812848708082362e-09;-2.0812848712611825e-09
1.8891927762076682e-06;1.6682426448991876e-06;-1.668242644899159e-06;2.1040776672471762e-09;-2.104077668133262e-09
1.9155005555735278e-06;1.6855815641418963e-06;-1.6855815641418997e-06;2.1271152538460016e-09;-2.1271152539011833e-09
1.9421746814890245e-06;1.7030974296653879e-06;-1.703097429665562e-06;2.1504002086001364e-09;-2.1504002054525926e-09
1.9692202554791733e-06;1.7207920129271175e-06;-1.7207920129270082e-06;2.1739351579742194e-09;-2.1739351587005605e-09
1.9966424501097934e-06;1.7386671027184047e-06;-1.7386671027187162e-06;2.1977227541771126e-09;-2.1977227544470973e-09
2.0244465099768061e-06;1.7567245053424708e-06;-1.7567245053416127e-06;2.2217656472402096e-09;-2.2217656451127598e-09
2.0526377527092522e-06;1.7749660447747093e-06;-1.7749660447738072e-06;2.2460665533205598e-09;-2.2460665522408319e-09
2.0812215699863371e-06;1.7933935628322884e-06;-1.793393562832674e-06;2.2706281927450051e-09;-2.2706281916759557e-09
2.1102034285685966e-06;1.8120089193537701e-06;-1.8120089193533521e-06;2.2954533289751808e-09;-2.2954533317338133e-09
2.1395888713434217e-06;1.8308139923682447e-06;-1.8308139923683961e-06;2.3205447314924821e-09;-2.3205447311570322e-09
2.1693835183851866e-06;1.8498106782510346e-06;-1.849810678251147e-06;2.3459052142144982e-09;-2.3459052150802581e-09
2.1995930680300747e-06;1.8690008919346856e-06;-1.8690008919342034e-06;2.3715376286762056e-09;-2.3715376307065271e-09
2.2302232979659364e-06;1.8883865670486441e-06;-1.8883865670486617e-06;2.3974448337051088e-09;-2.3974448330094987e-09
2.2612800663372794e-06;1.907969656125207e-06;-1.9079696561256483e-06;2.4236297240794507e-09;-2.4236297241953139e-09
2.2927693128656486e-06;1.9277521307693636e-06;-1.9277521307702204e-06;2.4500952538629274e-09;-2.4500952548426799e-09
2.3246970599856503e-06;1.9477359818456192e-06;-1.9477359818467822e-06;2.4768443546350772e-09;-2.4768443524434651e-09
2.357069413996728e-06;1.9679232196535451e-06;-1.9679232196537162e-06;2.5038800193693223e-09;-2.5038800188533824e-09
2.3898925662310478e-06;1.9883158741159976e-06;-1.9883158741149367e-06;2.5312052800720119e-09;-2.5312052825670782e-09
2.4231727942376005e-06;2.008915994981564e-06;-2.0089159949815983e-06;2.5588231856144973e-09;-2.5588231858775457e-09
2.4569164629827902e-06;2.0297256519942344e-06;-2.0297256519933462e-06;2.586736810286021e-09;-2.5867368089951362e-09
2.491130026067791e-06;2.0507469350859402e-06;-2.0507469350883547e-06;2.6149492737294801e-09;-2.6149492738017066e-09
2.5258200269627847e-06;2.0719819545858705e-06;-2.0719819545856905e-06;2.6434637234358956e-09;-2.6434637245053868e-09
2.5609931002584569e-06;2.093432841400731e-06;-2.0934328414008267e-06;2.6722833262711024e-09;-2.6722833269821034e-09
2.5966559729348724e-06;2.1151017472173342e-06;-2.1151017472177887e-06;2.7014113036260253e-09;-2.7014113031594822e-09
2.6328154656480201e-06;2.1369908446880617e-06;-2.1369908446880257e-06;2.7308509001712332e-09;-2.7308509001617843e-09
2.6694784940343236e-06;2.159102327641914e-06;-2.1591023276421682e-06;2.7606053841617117e-09;-2.7606053854367775e-09
2.7066520700332412e-06;2.1814384113073731e-06;-2.1814384113063143e-06;2.7906780724107935e-09;-2.79067807290259e-09
2.7443433032283624e-06;2.2040013324666603e-06;-2.2040013324661016e-06;2.8210723071570069e-09;-2.8210723074844852e-09
2.782559402207126e-06;2.2267933496953352e-06;-2.2267933496945466e-06;2.8517914685970168e-09;-2.8517914664117975e-09
2.8213076759394709e-06;2.2498167435653859e-06;-2.2498167435656125e-06;2.8828389692177582e-09;-2.8828389699615073e-09
2.8605955351757447e-06;2.2730738168522754e-06;-2.2730738168510739e-06;2.9142182620099976e-09;-2.914218263220016e-09
2.9004304938639916e-06;2.2965668947371428e-06;-2.2965668947376299e-06;2.9459328220970568e-09;-2.9459328217930704e-09
2.9408201705870607e-06;2.3202983250402902e-06;-2.3202983250415476e-06;2.9779861755710292e-09;-2.9779861735136458e-09
2.9817722900196732e-06;2.3442704784115106e-06;-2.3442704784117635e-06;3.0103818768307057e-09;-3.0103818756385333e-09
3.0232946844057763e-06;2.3684857485515373e-06;-2.3684857485517063e-06;3.0431235181606565e-09;-3.0431235196745984e-09
3.06539529505653e-06;2.3929465524564956e-06;-2.3929465524565667e-06;3.0762147323289608e-09;-3.0762147345900722e-09
3.1080821738690638e-06;2.4176553305972405e-06;-2.4176553305973121e-06;3.1096591867099773e-09;-3.1096591852298985e-09
3.1513634848664763e-06;2.4426145471833526e-06;-2.4426145471834145e-06;3.1434605849229533e-09;-3.1434605855776664e-09
3.1952475057592136e-06;2.4678266903460383e-06;-2.4678266903456665e-06;3.1776226674829673e-09;-3.1776226681024553e-09
3.2397426295281954e-06;2.4932942724019094e-06;-2.493294272402346e-06;3.212149224572169e-09;-3.212149224571504e-09
3.284857366030047e-06;2.519019830055305e-06;-2.5190198300537748e-06;3.2470440655460796e-09;-3.2470440642187331e-09
3.3306003436245885e-06;2.5450059246346175e-06;-2.5450059246330242e-06;3.2823110629332852e-09;-3.2823110612258769e-09
3.376980310825088e-06;2.5712551423369171e-06;-2.5712551423378543e-06;3.3179541128228349e-09;-3.3179541140611015e-09
