z;S_dispersion_relation_re;S_dispersion_relation_im;S_kernel_re;S_kernel_im;S_discrete_re;S_discrete_im
0;3.9506389061363249e-05;-5.9980360150280909e-20;-0;0;-2.2742059188944649e-05;-2.9251630383027287e-08
0.0001;3.9604459385905173e-05;-6.0105205589913413e-20;-2.2523116784051303e-05;0;-1.5274354712615918e-05;-1.6936448913428042e-05
0.00020000000000000001;3.9702753470283609e-05;-6.0230276198350803e-20;-2.1281080789806199e-05;0;2.3248459536568202e-06;-2.2753187488358227e-05
0.00030000000000000003;3.9801271772235346e-05;-6.0355572297987721e-20;-2.0908256305437425e-05;0;1.8488700120397471e-05;-1.3574235252394799e-05
0.00040000000000000002;3.9900014750298958e-05;-6.0481094211486129e-20;-2.0803435121282704e-05;0;2.2532548895822983e-05;4.6229727220525825e-06
0.00050000000000000001;3.9998982863816328e-05;-6.0606842261775655e-20;-2.0814086535452551e-05;0;1.1716352099759291e-05;1.9870250680225009e-05
0.00060000000000000006;4.0098176572933237e-05;-6.0732816772052731e-20;-2.0882633212003029e-05;0;-6.9002278051576578e-06;2.2079747028733678e-05
0.00069999999999999999;4.0197596338600714e-05;-6.0859018065780541e-20;-2.0982583781310582e-05;0;-2.1065064442291383e-05;9.7178488689524557e-06
0.00080000000000000004;4.029724262257608e-05;-6.0985446466688974e-20;-2.1100199396808304e-05;0;-2.1396748611446019e-05;-9.1331523416609812e-06
0.00090000000000000008;4.0397115887423965e-05;-6.1112102298774095e-20;-2.1227768432532983e-05;0;-7.5974983989302887e-06;-2.2058827558249339e-05
0.001;4.049721659651743e-05;-6.1238985886298e-20;-2.1360720242629086e-05;0;1.1298472544288371e-05;-2.0487892079299993e-05
0.0011000000000000001;4.0597545214039122e-05;-6.1366097553788767e-20;-2.1496242046361428e-05;0;2.2839113608851957e-05;-5.3755316214580965e-06
0.0012000000000000001;4.0698102204982259e-05;-6.1493437626039822e-20;-2.1632559411830585e-05;0;1.935986851849257e-05;1.3373338538916002e-05
0.0013000000000000002;4.0798888035151827e-05;-6.1621006428110186e-20;-2.1768537407137768e-05;0;3.0734458581690608e-06;2.3395532757883008e-05
0.0014;4.0899903171165233e-05;-6.1748804285323274e-20;-2.1903448052232716e-05;0;-1.5335563051170343e-05;1.8021682094743876e-05
0.0015;4.1001148080454219e-05;-6.1876831523268076e-20;-2.2036829059823506e-05;0;-2.3719860011304844e-05;7.1380159344713938e-07
0.0016000000000000001;4.1102623231265288e-05;-6.2005088467797747e-20;-2.2168395084321644e-05;0;-1.6484582528746343e-05;-1.7163854966703671e-05
0.0017000000000000001;4.120432909266077e-05;-6.21335754450295e-20;-2.2297980374042652e-05;0;1.6799973387348281e-06;-2.3806144993493905e-05
0.0018000000000000002;4.1306266134520496e-05;-6.2262292781345035e-20;-2.2425500834957534e-05;0;1.8838047087897226e-05;-1.4761977868346846e-05
0.0019;4.1408434827542158e-05;-6.2391240803389366e-20;-2.2550928436927578e-05;0;2.36507972352469e-05;4.0839314815594256e-06
0.002;4.1510835643242971e-05;-6.2520419838071263e-20;-2.2674273660877538e-05;0;1.2869320157474894e-05;2.0339314720762892e-05
0.0021000000000000003;4.1613469053960382e-05;-6.2649830212562505e-20;-2.2795573296117028e-05;0;-6.4736053107051669e-06;2.3252651171467818e-05
0.0022000000000000001;4.1716335532853494e-05;-6.2779472254298023e-20;-2.2914881863357594e-05;0;-2.165038291376432e-05;1.0823973036992986e-05
0.0023;4.1819435553903844e-05;-6.2909346290975377e-20;-2.3032265534406138e-05;0;-2.2613003977403027e-05;-8.824490686629001e-06
0.0024000000000000002;4.1922769591916618e-05;-6.3039452650554388e-20;-2.3147797795214992e-05;0;-8.6450542228931664e-06;-2.2755720769126531e-05
0.0025000000000000001;4.2026338122521857e-05;-6.3169791661257213e-20;-2.3261556341097268e-05;0;1.1112176782698233e-05;-2.1735632099781182e-05
0.0026000000000000003;4.2130141622175424e-05;-6.3300363651567838e-20;-2.3373620851958851e-05;0;2.3641719197958325e-05;-6.3532623302437009e-06
0.0027000000000000001;4.2234180568160084e-05;-6.3431168950231781e-20;-2.3484071401666718e-05;0;2.0626779004495261e-05;1.3312619643478442e-05
0.0028;4.2338455438586726e-05;-6.3562207886256014e-20;-2.3592987327792979e-05;0;3.9706816307410501e-06;2.429685243670502e-05
