kL1;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
-0.5;0.17443438271977374;-10.479464086633019;0.0033730080900304213;1;-1.5650046588566653;296.77344572771278;250;250;0.69506599727562435;0.43770477981522549;0.30414959394332641;0.43758376202471272;0.69506599727562446;0.35187649745535815;0.24449327327041143;0.35175547966484544;0.96173667529714713
-0.48999999999999999;0.17363695840336751;-10.327025732140829;0.0033224342601422979;1;-1.5373536197331339;295.96436122486921;250;250;0.68573888818843209;0.44688921290944394;0.30636072013086213;0.44676002106311669;0.68573888818843209;0.35985568519383804;0.24667844560004565;0.35972649334751106;0.96169683889780166
-0.47999999999999998;0.1729822514471018;-10.220385107164113;0.0032871008726697596;1;-1.5035801822331385;295.30000620012618;250;250;0.67740652884543751;0.45560481598888131;0.30853622389543023;0.4554668589056784;0.67740652884543751;0.36769829893961098;0.24898777531819158;0.36756034185640779;0.961656985796429
-0.46999999999999997;0.17222622900124429;-10.139135107909166;0.0032602065378492294;1;-1.4759981509831428;294.53275783724598;250;250;0.66967375968783238;0.46411060499845475;0.31070445094805765;0.46396390250215591;0.6696737596878326;0.3755803791157093;0.25141808173514663;0.37543367661941057;0.96160293170530342
-0.46000000000000002;0.17144998055067867;-10.100635277245958;0.0032474705869727279;1;-1.4395649692204529;293.74488746386385;250;250;0.66298528319242822;0.47204776480536059;0.31285748881910558;0.47189205665716144;0.66298528319242822;0.38321980283595775;0.25396585729741439;0.38306409468775804;0.96153845376254132
-0.45000000000000001;0.17066242359709599;-10.030151878808461;0.00322416720895262;1;-1.4081274615910631;292.94543899505834;250;250;0.65568838604722457;0.48060870243200698;0.31502162698020503;0.48044411596077324;0.65568838604722457;0.39155071329169333;0.25662733781618152;0.39138612682045965;0.96146372044449724
-0.44;0.16985024911609822;-10.008350120996688;0.0032169623069278298;1;-1.3774768268254425;292.12089416689065;250;250;0.64962477035674915;0.48840472750630021;0.3171669553032761;0.48823100623010435;0.64962477035674926;0.39947872441561527;0.25939842096674648;0.39930500313941958;0.96137680153652671
-0.42999999999999999;0.16904621266363418;-9.9983403553716883;0.0032136545902897102;1;-1.3434200641301342;291.30450280304279;250;250;0.64398096035379748;0.49601046656553904;0.31930345071144084;0.4958274706382908;0.64398096035379748;0.40745336412312677;0.26227436283442596;0.40727036819587759;0.96128088039703086
-0.41999999999999998;0.16821667336360435;-9.966823326563091;0.0032032427774227384;1;-1.31242201725514;290.46210207292415;250;250;0.6379825350522339;0.50403285760844907;0.32144165052245699;0.50384083084051734;0.6379825350522339;0.4159562403396681;0.26525030695849489;0.41576421357173654;0.96117159778604389
-0.40999999999999998;0.16738853364873665;-9.9558675161093486;0.0031996242964167612;1;-1.2856996280339521;289.62100495993724;250;250;0.63261888514267328;0.51166924568795003;0.32356436559641227;0.51146807848368203;0.63261888514267328;0.42434385291338844;0.26832067297472251;0.42414268570911962;0.96105202214984897
-0.40000000000000002;0.16659945080373312;-9.9265416494101295;0.0031899404235336375;1;-1.2517800752309174;288.81946499352415;250;250;0.62698717502342882;0.51964529759046085;0.32567911586362841;0.51943505200319073;0.62698717502342893;0.43320100914080639;0.27147965565166948;0.43299076355353677;0.96092832412244111
-0.39000000000000001;0.16574536554060637;-9.9165135732382534;0.0031866299148813047;1;-1.2197778522160907;287.95177292289657;250;250;0.62196066573241959;0.52722638136973099;0.3277778025550655;0.52700728617472137;0.6219606657324197;0.44192047050236077;0.27472088144108581;0.44170137530735165;0.9607836756899415
-0.38;0.16492738629222031;-9.9032274587541824;0.0031822431548788662;1;-1.1896942798283991;287.12064011837231;250;250;0.61702748756900783;0.5348224863100256;0.32985953852082073;0.53459456047965692;0.61702748756900794;0.45083581092160141;0.27803745121662748;0.45060788509123262;0.96063463066389265
-0.37;0.16411615947738048;-9.8903645856767888;0.0031779973232519167;1;-1.1575548285630686;286.29624887467605;250;250;0.61227111036450932;0.54235336809166435;0.33192242743347206;0.54211675484062194;0.61227111036450932;0.4598737030556333;0.28142251133936846;0.45963708980459073;0.96047663389358451
-0.35999999999999999;0.1632949444616317;-9.8810893459707501;0.0031749361178759501;1;-1.1212082721379795;285.46158455432487;250;250;0.60776444333734292;0.54973930011762739;0.3339630533471607;0.54949422758809319;0.60776444333734292;0.46896038765142012;0.28486850257874052;0.46871531512188636;0.96030633865610859
-0.34999999999999998;0.1625324897432803;-9.8723609341770455;0.003172055742126422;1;-1.0908409740117637;284.68653081796606;250;250;0.60344983250793893;0.55701820188393358;0.33597950021202072;0.55676459270141665;0.60344983250793904;0.47811870296745784;0.288367610805913;0.47786509378494063;0.9601388806065787
-0.33999999999999997;0.16176455244054536;-9.861296070972088;0.003168404719220674;1;-1.062503837623942;283.90579343103661;250;250;0.59924555268950763;0.56425680909262721;0.33797148200575777;0.56399497749943905;0.59924555268950763;0.48739383325783425;0.29191168557027686;0.48713200166464588;0.95996109760570636
-0.33000000000000002;0.16100882794355145;-9.8596839799076328;0.0031678728639927128;1;-1.0317969867376018;283.13736281249453;250;250;0.59543364218132666;0.57116963975197577;0.33993288304299313;0.57089969219353209;0.59543364218132666;0.49653400376324663;0.29549231446970375;0.49626405620480185;0.95977718364370301
