NAtoms;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
1000;0.23256483674049389;-2.0397412464927624;0.070683458272026795;0.16097100229610561;0.071200421534995784;33.948946798435607;25;25;0.014291052029304863;0.71326904902727617;0.010133520715374413;0.70908150740721376;0.38842732576260497;0.56463907514823375;0.21926140160573174;0.56448500675191338;0.76817729921378397
1023;0.23145666241645829;-2.0282092497657729;0.067054382876414353;0.13863803792582963;0.059870665905192959;34.646619158369099;25.574999999999999;25.574999999999999;0.011243061629548003;0.75141805823427266;0.0083844275765876178;0.74574238342271648;0.38971203658112669;0.56658755913638159;0.22074217961087317;0.56642381782047191;0.7717717939599571
1047;0.23038709207223312;-2.0835206613856858;0.065686781337042324;0.15451299445103905;0.067593151012538946;35.378844694686833;26.175000000000004;26.175000000000004;0.013634835075222935;0.73099682230966134;0.0099003209298662697;0.72610492721375253;0.39207806328595951;0.56755212887818363;0.22245803932154362;0.56738200922833915;0.77539852668025333
1071;0.229323678452238;-2.108136378319891;0.063434237539804414;0.15407449043700544;0.057631495058181617;36.106673665441356;26.775000000000002;26.775000000000002;0.013752233075551632;0.73784355765147236;0.01007668064596956;0.73273050206541546;0.39395547994856878;0.56947199895891176;0.22427629873498131;0.56929351195790134;0.77889668204856166
1096;0.22822907748406601;-2.1270692930545056;0.061032117677455047;0.15204846797100308;0.062697278134290657;36.860957264363137;27.400000000000002;27.400000000000002;0.013622813075516898;0.74698224779221589;0.010101698473205124;0.74152808360558298;0.39578443454173623;0.57130516040392232;0.22603938880204455;0.57111742927375853;0.7824116108869632
1122;0.22713437977021406;-2.1401769802893846;0.058509909267554616;0.14342337915533893;0.064846123091855362;37.644821487364958;28.050000000000004;28.050000000000004;0.012547367098358207;0.76899818174630441;0.0095705208258535877;0.76275132072176854;0.39743315106254401;0.5736843613933249;0.22792280180536509;0.57348714166397485;0.78593853235358557
1148;0.22605699603242121;-2.1709531233641473;0.056619815763209444;0.14628312347502023;0.066132816590726354;38.425126005214409;28.700000000000003;28.700000000000003;0.013091798095289077;0.76815871867826002;0.0099738578508685068;0.76184018255349328;0.39931547693104852;0.57482056655253166;0.22945202768349643;0.57461340954514739;0.78933821044966479
1174;0.22501806524138401;-2.1835524962286437;0.054378675658173239;0.14051762383796176;0.055009844733266651;39.20462462303334;29.350000000000001;29.350000000000001;0.01240387085000773;0.78467048539183426;0.0096459862077933126;0.77765935524774521;0.40088876953479624;0.57666369031762688;0.23109103209400847;0.57644675943946666;0.79262024469309034
1202;0.22392592456679294;-2.2187895105223152;0.052642380668171646;0.14386790626193655;0.05532428346900322;40.041462463972458;30.050000000000001;30.050000000000001;0.013040543988417535;0.78371430351406568;0.010128531526386955;0.7766954764604147;0.40281663210315061;0.57811828074047267;0.23278412948220065;0.57789105744419911;0.79602835069538092
1230;0.22286653247225363;-2.2317848012778132;0.050496184654002678;0.13766153365273737;0.04811520135423835;40.876463276283197;30.750000000000004;30.750000000000004;0.01235011395525578;0.80673643495577974;0.0098667440158612309;0.79891926921551093;0.40443299936261184;0.58123599788480451;0.2349744750743728;0.5809972861875603;0.7993133159508804
1258;0.22183370156704799;-2.2698975370268322;0.049037269518409157;0.14286266088456495;0.054905881712076957;41.709082246936902;31.450000000000003;31.450000000000003;0.013268318843650959;0.80172337864632304;0.010536436454175502;0.79410485822153021;0.40631967024778914;0.58269457683611436;0.236659183357112;0.58244579498892646;0.80248113400798926
1288;0.22076213085358209;-2.2974708841177804;0.047283761160466398;0.14348253084033669;0.05832280023243222;42.599539346118945;32.200000000000003;32.200000000000003;0.013504324047132522;0.80553061509593249;0.010771429885963399;0.79762821510866966;0.40808688122678871;0.58410114423122972;0.23825729770014331;0.58383963969607511;0.80575334924690367
1318;0.21969108668417928;-2.3360884831275195;0.045857743561495343;0.14641689747327175;0.056266849254510101;43.483665144343817;32.949999999999996;32.949999999999996;0.014124918201742527;0.80607207996991292;0.011274113438565382;0.79817194531962288;0.40990477619028198;0.58589414338367629;0.24004921895916467;0.58562191246030115;0.80890085804431777
1348;0.21866505948157305;-2.356312684806749;0.044160518117413471;0.14337894521709899;0.055901886840722316;44.367774714398379;33.699999999999996;33.699999999999996;0.013813439135000827;0.81859221860625497;0.011190655099015567;0.81012809262397334;0.4114364885218143;0.58777537543740555;0.24171531782047001;0.58749120353639783;0.81193752219317694
1380;0.21759152484384708;-2.3759406373831604;0.042429193943479167;0.14217270827019957;0.050051924466797654;45.307095883016686;34.5;34.5;0.013846181558722935;0.83096981526074898;0.011382847813095651;0.822092918890305;0.41313719083035627;0.59061000900487415;0.24388004887774206;0.59031250221644871;0.81505682654894762
1412;0.21655164237461597;-2.4155001090842294;0.041152501793363105;0.14465881065372718;0.055289632643653809;46.244564532214845;35.299999999999997;35.299999999999997;0.014393728842929538;0.83132984831064238;0.011837374051199424;0.82239801655108702;0.41486501347287186;0.59219062118398647;0.24555060767158515;0.59188073155665555;0.81806146374760425
1445;0.21551843996498085;-2.4435327934096733;0.039699418035239839;0.1450990169243204;0.049474314087883602;47.210330654179387;36.125;36.125;0.014666167174271322;0.83841257295923666;0.012161948065579933;0.82925197299779108;0.4165469635065896;0.59453969896293413;0.24751935539668099;0.59421716416560877;0.82104770502191893
1479;0.2144354650946482;-2.4513318555432351;0.037963495561419647;0.13931578177860121;0.04592668199360897;48.195376523912032;36.975000000000001;36.975000000000001;0.013907553713112933;0.85859117261055318;0.011799266105750116;0.84840701313452505;0.41791143879240467;0.59660834989134059;0.24918781715371671;0.59626943419823319;0.82400070680827309
1513;0.21346238289123021;-2.5324533002446552;0.037441998902080859;0.15460170388262234;0.055935411266286719;49.19053978455905;37.825000000000003;37.825000000000003;0.016621666818768879;0.83151619060732784;0.013675015295514152;0.82272226032545526;0.42016990557949713;0.59822508064297886;0.25121000586987491;0.59787719809063145;0.82685982205152908
1548;0.21240611571913209;-2.5383939729998968;0.035802532099181064;0.14709026920492352;0.053031494961862984;50.199209236259001;38.700000000000003;38.700000000000003;0.015500653593619573;0.85302335308949817;0.013069191977033913;0.84313812305395264;0.42136444619457125;0.60004804004257861;0.25268568255620477;0.59968439396883388;0.82967812552616593
1584;0.21136344417089306;-2.5752314606669691;0.034648768574265618;0.14970253805711264;0.045892100659290946;51.236268761487565;39.600000000000001;39.600000000000001;0.01615301560843414;0.85528181395203717;0.013654935274743379;0.84534898038565554;0.42306054065448501;0.60244466907300476;0.25471012219680411;0.60206542024165455;0.83247144263975503
1621;0.21033016028897716;-2.5875576535220759;0.033199910725915674;0.14694561495749664;0.038689156104926167;52.30084309400921;40.525000000000006;40.525000000000006;0.015925888212398168;0.87177249839987225;0.013716130008311797;0.86124741209937083;0.42452634290179248;0.60555500796949868;0.25690643161130949;0.6051601647503434;0.83523617560755348
1659;0.20928803506391003;-2.6026171365733761;0.03184030097531524;0.14464951935532297;0.040126692097598296;53.389558700767367;41.475000000000001;41.475000000000001;0.015729604535759986;0.88531855496111489;0.013751065727688062;0.87421560385870634;0.42594587296302255;0.60793023003076097;0.25877072750104285;0.60752021307530635;0.83796569827379452
