kL1;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
-0.5;0.16686075848385371;-10.044608035798245;0.0016147406142683798;1;-1.5667129947331293;289.08490995903639;250;250;0.63988461654386775;0.58592915403089607;0.3745906049833887;0.58540336069746468;0.63988461654386775;0.39997804254312902;0.25560334931313283;0.39945224920969757;0.96097034349010135
-0.48999999999999999;0.16529321588433959;-9.990442004728191;0.0016057889081665902;1;-1.5354678775456343;287.49236730660959;250;250;0.63334739808462615;0.59962605934566082;0.37942216440162135;0.59907432405828565;0.63334739808462615;0.41173037957396957;0.26041892450687909;0.41117864428659517;0.96070256178959068
-0.47999999999999998;0.1636100697254369;-9.9589631228922535;0.0016005886437728749;1;-1.5017468463566748;285.7818854392101;250;250;0.6274443671901978;0.61302489825753959;0.38427759379846954;0.6124488701991696;0.6274443671901978;0.42372083416072365;0.26549982509471065;0.42314480610235433;0.96037291942684844
-0.46999999999999997;0.16215480742208449;-9.9243042974947606;0.0015948651922117326;1;-1.471840840497304;284.30256717735699;250;250;0.62180784952242452;0.62641303892081213;0.38913438513897852;0.62581131041985183;0.62180784952242463;0.43617148870265648;0.27084069590801507;0.43556976020169652;0.96005258970492946
-0.46000000000000002;0.16060126048676451;-9.909277439045777;0.0015923843442253774;1;-1.4402604571965272;282.7228972452599;250;250;0.61677337809935207;0.63944765422371708;0.39400837226797819;0.6388219502634076;0.61677337809935207;0.44882070737015056;0.27643474630033821;0.44819500340984092;0.95967430107374241
-0.45000000000000001;0.15906968620769454;-9.8917237310885078;0.0015894867756443385;0.94811439402516329;-1.409389430074989;281.16511094877313;250;250;0.56350158400263806;0.65277952698749764;0.3674454612049799;0.6520752942608582;0.61198237602270156;0.4618940390544013;0.28227417523426784;0.46124559512445312;0.95926445752349687
-0.44;0.15756537305343932;-9.8733338385096552;0.0015864515304430174;0.89242441733779354;-1.3779321451039912;279.63459776463105;250;250;0.50987308698555489;0.66689776758330843;0.33962624418374077;0.66609957036889589;0.60747134723274265;0.47534256432664557;0.28835000867083871;0.47467260799110933;0.95882604359352752
-0.42999999999999999;0.15610704025391872;-9.866705420540903;0.0015853578901875304;0.84333773784803556;-1.3464585538500453;278.15042477931627;250;250;0.4650860148804522;0.68143836204305619;0.31651043549564006;0.68054171780890316;0.60346531168499418;0.48895866341334304;0.29465257552418339;0.48826762668670265;0.95836690376332201
-0.41999999999999998;0.15468713125337649;-9.8616484671107258;0.0015845234516455669;0.79912755972587646;-1.3149848519743788;276.704928888258;250;250;0.42669662365653849;0.69654453620820522;0.2967867003370207;0.69554499352193988;0.59978454790048719;0.50284222534211387;0.3011704953026651;0.50213113418292599;0.95788738426238151
-0.40999999999999998;0.1533082930291855;-9.8525329142172353;0.001583019176257545;0.75880495861057229;-1.2835189632546973;275.30083032152265;250;250;0.39326535059381745;0.7122964896005507;0.27968630527480981;0.71118979806507976;0.59633515168379847;0.51703626608195019;0.30789167672530854;0.51630643582883307;0.95739087225638198
-0.40000000000000002;0.15201835791725871;-9.8360618143622673;0.0015803012732592797;0.72180468869455428;-1.2520690769457099;273.98688595837086;250;250;0.3639035899892199;0.72870867592531152;0.26473614040436194;0.72748977390468816;0.59307985787648754;0.53154137643948418;0.31480292117305197;0.53079347914494779;0.9568986593354919
-0.39000000000000001;0.15075626532721775;-9.8347175150458597;0.0015800800632172138;0.69008279974926012;-1.2205944917403528;272.70094098758852;250;250;0.33989320281089619;0.74495289487445104;0.25275252120063052;0.74362334730551383;0.59036517170629843;0.5460060940081195;0.32189107726029365;0.5452406284909227;0.95639096215613051
-0.38;0.14954451045181466;-9.841516807610251;0.0015812018804960434;0.66250810666706084;-1.1891125438175012;271.46594137143728;250;250;0.31990568114431078;0.76105290991059915;0.24300490276199488;0.75961421470465962;0.58806942573407206;0.56047884593528963;0.32914022629544626;0.55969620574065537;0.95587904277719238
-0.37;0.14840453027129091;-9.8325703888465839;0.0015797258358183726;0.6365575468181347;-1.1576571782925966;270.3037793936299;250;250;0.30169472883546461;0.77777099776934311;0.23418166702444121;0.77622061190255986;0.58582074061532763;0.57526571202814725;0.33653484222726365;0.57446727112081775;0.9553754002537943
-0.35999999999999999;0.1473325495732567;-9.8184743196969109;0.0015774008065133575;0.61309669730169158;-1.1262109957749298;269.21065681351126;250;250;0.28581039289453597;0.79462319452214214;0.22663668675660947;0.79296167106225002;0.58378730946359658;0.59016941173418036;0.34405853233113554;0.58935596364242326;0.95488215772374918
-0.34999999999999998;0.14629476489943014;-9.8225682532214709;0.0015780759934876699;0.59384734258054883;-1.094741880500393;268.15213813008006;250;250;0.27338559799523532;0.8105038938657122;0.22109762764670213;0.80873911891494554;0.5822943818793761;0.60480828904396888;0.35169400476913898;0.60397973209707756;0.95438637709410623
-0.33999999999999997;0.14532440764123725;-9.8192418372058476;0.0015775272103037306;0.57639182742857353;-1.0632864659128485;267.16215243053318;250;250;0.26246649755995421;0.82632488861500386;0.21639292891852088;0.82445923929430676;0.58096271789056819;0.61951124887413112;0.35942326846681671;0.61866838851872541;0.95390642412294291
