z;S_dispersion_relation_re;S_dispersion_relation_im;S_kernel_re;S_kernel_im;S_discrete_re;S_discrete_im
0;3.9506389061363249e-05;-5.9980360150280909e-20;-0;0;5.654599195774636e-05;0.00010491497254212609
6.6729653889491128e-06;3.9604459385905173e-05;-6.0105205589913413e-20;-2.2523116784051303e-05;0;6.2247372118793477e-05;9.9049313311929156e-05
0.00017808485864247029;3.9702753470283609e-05;-6.0230276198350803e-20;-2.1281080789806199e-05;0;0.00010714723811487279;-9.3600428794912471e-05
0.00033437688131600878;3.9801271772235346e-05;-6.0355572297987721e-20;-2.0908256305437425e-05;0;-1.8393459010118151e-05;-0.0001326166186595906
0.00051317965772524352;3.9900014750298958e-05;-6.0481094211486129e-20;-2.0803435121282704e-05;0;-0.00011612083290377416;5.1383332490327533e-05
0.00054236341825095863;3.9998982863816328e-05;-6.0606842261775655e-20;-2.0814086535452551e-05;0;-0.00011025914426758725;8.2737389281556349e-05
0.00054587083975664048;4.0098176572933237e-05;-6.0732816772052731e-20;-2.0882633212003029e-05;0;-0.00010909634398351574;8.6181813009961051e-05
0.00059113113015447178;4.0197596338600714e-05;-6.0859018065780541e-20;-2.0982583781310582e-05;0;-8.6052897715394367e-05;0.00012266437418479272
0.00063982842460461368;4.029724262257608e-05;-6.0985446466688974e-20;-2.1100199396808304e-05;0;-4.7865563069178011e-05;0.00014202482323387853
0.00073686274476088818;4.0397115887423965e-05;-6.1112102298774095e-20;-2.1227768432532983e-05;0;4.372797241283827e-05;0.00011129049988225095
0.0012270696741041814;4.049721659651743e-05;-6.1238985886298e-20;-2.1360720242629086e-05;0;-0.00011224298533258378;9.6976249983133374e-06
0.001252494569189402;4.0597545214039122e-05;-6.1366097553788767e-20;-2.1496242046361428e-05;0;-0.00011501183313593128;3.9565900439793445e-05
0.0013101928770764308;4.0698102204982259e-05;-6.1493437626039822e-20;-2.1632559411830585e-05;0;-0.00010202251275716197;9.8442708075131626e-05
0.0014882122931756396;4.0798888035151827e-05;-6.1621006428110186e-20;-2.1768537407137768e-05;0;4.4574053775894853e-05;0.00010956853388275568
0.0016899977802748393;4.0899903171165233e-05;-6.1748804285323274e-20;-2.1903448052232716e-05;0;9.9233734263716984e-05;-0.00010215856777215967
0.0016932202248824881;4.1001148080454219e-05;-6.1876831523268076e-20;-2.2036829059823506e-05;0;9.7676963234018702e-05;-0.00010474456662129689
0.0017242426066463269;4.1102623231265288e-05;-6.2005088467797747e-20;-2.2168395084321644e-05;0;7.9235760027046652e-05;-0.00012523486455185993
0.0018694282737764187;4.120432909266077e-05;-6.21335754450295e-20;-2.2297980374042652e-05;0;-4.9149679046969797e-05;-0.00010238228072331158
0.0020585465131896679;4.1306266134520496e-05;-6.2262292781345035e-20;-2.2425500834957534e-05;0;-0.000101438420591046;9.6859583944325554e-05
0.0024034155151359737;4.1408434827542158e-05;-6.2391240803389366e-20;-2.2550928436927578e-05;0;0.00011094944451223504;-6.7824687718398945e-05
0.0024696078349752274;4.1510835643242971e-05;-6.2520419838071263e-20;-2.2674273660877538e-05;0;8.2329596946343489e-05;-0.00012132058000653577
0.0027548639145525428;4.1613469053960382e-05;-6.2649830212562505e-20;-2.2795573296117028e-05;0;-0.00011320698084341147;4.2553499046190559e-05
0.0027602400149380848;4.1716335532853494e-05;-6.2779472254298023e-20;-2.2914881863357594e-05;0;-0.00011307211563787432;4.8386209278030656e-05
0.0029653963749025052;4.1819435553903844e-05;-6.2909346290975377e-20;-2.3032265534406138e-05;0;2.2234075106252758e-05;0.00011979304496252084
0.0029793304776212746;4.1922769591916618e-05;-6.3039452650554388e-20;-2.3147797795214992e-05;0;3.4872773755991111e-05;0.00011120877909355021
0.0030027119311174574;4.2026338122521857e-05;-6.3169791661257213e-20;-2.3261556341097268e-05;0;5.47421359722159e-05;9.3374738362649346e-05
0.0031652249157699841;4.2130141622175424e-05;-6.3300363651567838e-20;-2.3373620851958851e-05;0;0.00010533177216561258;-7.9404180871398683e-05
0.0031890772182505329;4.2234180568160084e-05;-6.3431168950231781e-20;-2.3484071401666718e-05;0;9.6594914857265523e-05;-9.9961194964445318e-05
0.0033400793133414484;4.2338455438586726e-05;-6.3562207886256014e-20;-2.3592987327792979e-05;0;-2.1997743453524187e-05;-0.00011880040806941779
0.0033507459931471132;4.2442966712395197e-05;-6.3693480788908368e-20;-2.3700446437605833e-05;0;-3.1477202171148241e-05;-0.00011230075954673121
0.0033673720864304669;4.2547714869355685e-05;-6.3824987987717452e-20;-2.3806524460778224e-05;0;-4.5590971846187329e-05;-0.00010032687778555791
0.0033992686739524212;4.2652700390069764e-05;-6.3956729812472639e-20;-2.3911294683683741e-05;0;-6.9719605674145062e-05;-7.2042074028943754e-05
0.0034721070757159308;4.2757923755971378e-05;-6.4088706593223262e-20;-2.4014827717540647e-05;0;-0.00010363467455756804;7.9418659745203084e-06
0.003484912761485433;4.2863385449327932e-05;-6.4220918660278609e-20;-2.4117191365180114e-05;0;-0.00010581268990399305;2.2523629648251348e-05
0.0035322645527273845;4.2969085953241474e-05;-6.4353366344207607e-20;-2.4218450560301641e-05;0;-0.00010302428192132855;7.2731020303242925e-05
0.0035860664140331482;4.307502575164988e-05;-6.448604997583869e-20;-2.4318667359728639e-05;0;-8.048911740903087e-05;0.0001153965774964038
0.003597658299586044;4.3181205329327656e-05;-6.4618969886259075e-20;-2.4417900974080014e-05;0;-7.3321873905240502e-05;0.000121694043230287
0.0036008792595726372;4.3287625171887404e-05;-6.4752126406815081e-20;-2.451620782591149e-05;0;-7.1209428629937034e-05;0.00012321411602769192
0.0036098519176625678;4.3394285765780666e-05;-6.4885519869111325e-20;-2.4613641627096302e-05;0;-6.507134647623777e-05;0.00012689251230444654
0.0036411823305473059;4.3501187598299006e-05;-6.5019150605010552e-20;-2.4710253469252649e-05;0;-4.1080469370554528e-05;0.00013376102664412008
0.0036888878045589243;4.3608331157575361e-05;-6.5153018946633577e-20;-2.4806091922561271e-05;0;2.1317714918444019e-08;0.00012632264535225013
0.0037263730994321551;4.3715716932584945e-05;-6.5287125226358763e-20;-2.4901203139480071e-05;0;3.23928397782977e-05;0.00010613715349626421
0.0040803577749951997;4.3823345413146426e-05;-6.5421469776821811e-20;-2.499563096074462e-05;0;-1.379582974556453e-05;-0.00011947905919211158
0.0042682216413035233;4.3931217089922959e-05;-6.5556052930915417e-20;-2.5089417021716651e-05;0;-0.00010231301787062612;6.281309057184234e-05
0.0042933178514498686;4.4039332454423308e-05;-6.5690875021788903e-20;-2.5182600857655247e-05;0;-9.7108740030576185e-05;8.6161113318068379e-05
0.0045446703822476647;4.4147691999003078e-05;-6.5825936382848212e-20;-2.5275220006877107e-05;0;7.9737683294215885e-05;4.4630695559034982e-05
0.0047628588085142816;4.425629621686565e-05;-6.5961237347755194e-20;-2.536731011107215e-05;0;4.2845774326970626e-05;-0.00013318218593926201
0.0047876065324315813;4.4365145602063304e-05;-6.6096778250427521e-20;-2.5458905012268789e-05;0;2.2849468738723679e-05;-0.00013253082296643497
0.004806504269280738;4.4474240649498634e-05;-6.6232559425038704e-20;-2.5550036846118232e-05;0;6.9793674842224027e-06;-0.00012806095970620233
0.0050164481397048221;4.4583581854925051e-05;-6.6368581206016907e-20;-2.564073613129885e-05;0;-0.0001002766056506789;6.2204265097737859e-05
0.0051262103063122819;4.4693169714948509e-05;-6.6504843928045578e-20;-2.5731031854942835e-05;0;-5.1383807244996575e-05;0.00013146413921623975
0.0051931784017232828;4.4803004727028289e-05;-6.6641347926062701e-20;-2.5820951554061512e-05;0;2.4196877198967816e-06;0.00012268184297821314
0.0052055734373501698;4.4913087389478007e-05;-6.6778093535260228e-20;-2.5910521393002975e-05;0;1.2728157457393536e-05;0.00011657854053305024
0.0052411357106560853;4.502341820146723e-05;-6.6915081091084588e-20;-2.5999766237015623e-05;0;4.0910936545444881e-05;9.2179747133993588e-05
0.005330888933222545;4.5133997663021935e-05;-6.7052310929235384e-20;-2.6088709722021704e-05;0;9.0677363819289649e-05;8.7109949735282023e-07
0.0056232772673123956;4.5244826275025935e-05;-6.7189783385665639e-20;-2.6177374320724899e-05;0;-4.6056876946323258e-05;-8.6832929355008746e-05
0.0057901437370541219;4.5355904539222233e-05;-6.7327498796581606e-20;-2.626578140519054e-05;0;-9.1914895247382114e-05;8.5778959624133904e-05
0.0058103429022730319;4.546723295821365e-05;-6.7465457498441961e-20;-2.6353951306044732e-05;0;-8.5438277774530337e-05;0.00010179725187746314
0.005843588257207823;4.5578812035464379e-05;-6.760365982795801e-20;-2.6441903368444265e-05;0;-6.9550374943478483e-05;0.00012141370909290254
0.0058620221678492915;4.569064227530063e-05;-6.7742106122092731e-20;-2.6529656004969502e-05;0;-5.8358804478360588e-05;0.00012818046498169235
0.0059103066011241753;4.5802724182912191e-05;-6.7880796718061098e-20;-2.6617226745592709e-05;0;-2.3359769595939027e-05;0.00013088697453717303
0.0062501100280727331;4.591505826435332e-05;-6.8019731953329395e-20;-2.6704632284870986e-05;0;5.0050661306961533e-05;-0.00013118179537213406
0.006251395932632315;4.6027645026544057e-05;-6.8158912165615179e-20;-2.6791888526509663e-05;0;4.9168915004544363e-05;-0.00013136624608867383
0.0062799508923942673;4.6140484977270937e-05;-6.8298337692886415e-20;-2.6879010625437319e-05;0;2.8401290066778995e-05;-0.00013127504165218168
0.006568752216725874;4.6253578625188446e-05;-6.8438008873361594e-20;-2.6966013027528128e-05;0;-8.1556710305764581e-05;0.00010940893308336599
0.0066294809164304525;4.6366926479820003e-05;-6.8577926045509231e-20;-2.7052909507102008e-05;0;-4.7494888073429746e-05;0.00013136174506868858
0.0067943619854414182;4.6480529051559284e-05;-6.8718089548047812e-20;-2.7139713202326978e-05;0;7.1406031890447789e-05;3.5012984749525213e-05
0.0068104772377451626;4.659438685167108e-05;-6.8858499719945064e-20;-2.7226436648642167e-05;0;7.8992988332855178e-05;1.7628484571797708e-05
0.0071446633494123973;4.6708500392292381e-05;-6.8999156900417568e-20;-2.7313091810314286e-05;0;-5.7072386834720233e-05;-6.1229154216195226e-05
0.0071861581273788208;4.6822870186433991e-05;-6.9140061428931253e-20;-2.7399690110234359e-05;0;-7.8532332378272732e-05;-1.7793831459481717e-05
0.0072431433458852567;4.6937496747980838e-05;-6.9281213645199698e-20;-2.7486242458055732e-05;0;-9.198395910272468e-05;4.4188925898029489e-05
0.0073499692349811713;4.7052380591693763e-05;-6.9422613889184903e-20;-2.7572759276769163e-05;0;-6.2597997038490652e-05;0.00012425465345531744
0.0074205335227310893;4.7167522233210599e-05;-6.9564262501096747e-20;-2.7659250527805194e-05;0;-1.4446088864490521e-05;0.0001267733033900959
0.0075358478712048357;4.7282922189046777e-05;-6.9706159821392146e-20;-2.774572573474905e-05;0;6.5927491948059919e-05;4.360318247784844e-05
0.0077369403738324818;4.7398580976597122e-05;-6.984830619077533e-20;-2.7832194005748312e-05;0;5.4768158090057214e-05;-0.00012830675501482734
0.0077408114486494338;4.7514499114136251e-05;-6.9990701950196734e-20;-2.7918664054689254e-05;0;5.2405991776104029e-05;-0.00012916610686561811
0.0077549258292780188;4.7630677120820517e-05;-7.0133347440853734e-20;-2.800514422121285e-05;0;4.3376206956198746e-05;-0.00013102027345727012
