OmegaScattering;OmegaStorageRetrieval;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
1;1;0.13424667358398429;-8.3966763642838878;0.0026921694910068735;0.40504631355259524;0.0096060165379034512;255.84242067084782;250;250;0.15419500674578149;0.98869577443858048;0.15191614780862558;0.98522092909977932;0.55012008403071078;0.83974853543768546;0.46142673107918908;0.83877455936226042;0.94726001625971179
1.0232929922807541;1.0232929922807541;0.13424550533294671;-8.3965299752763176;0.002818954713086695;0.40504506739776885;0.0096067140100887863;244.32647310181881;238.74814650535902;238.74814650535902;0.15419423631891768;0.98869798916603302;0.15191576148185523;0.98522334627119323;0.55011944938536139;0.83974940563943967;0.46142671074440239;0.83877549005029028;0.94725919718595841
1.0471285480508996;1.0471285480508996;0.13424445152282705;-8.3972960618546857;0.0029520332767180549;0.40504881942709747;0.0096057060918879264;233.32898676121093;228.00270983897741;228.00270983897741;0.15419639299883517;0.98869421839721461;0.15191729524185135;0.98521951316331358;0.5501198576502393;0.83974888648864687;0.46142675088327983;0.83877494052696122;0.94725845832566213
1.0715193052376064;1.0715193052376064;0.13424469947814932;-8.3963626054337848;0.0030907564656834537;0.40504320318787068;0.0096013296606374914;222.8276734843144;217.74089748902014;217.74089748902014;0.1541931430450621;0.9887009383083194;0.15191517291690676;0.98522651472582268;0.550118835218109;0.83975045318946417;0.46142680889001231;0.83877660488950101;0.94725863217705264
1.0964781961431851;1.0964781961431851;0.13424180030822747;-8.3993174699357382;0.0032375203540839668;0.40505870026276414;0.0096106824711543262;212.79630817409293;207.94094277566771;207.94094277566771;0.15420204235511323;0.98868391703720571;0.15192124075928265;0.98520900526999444;0.55012093885073055;0.8397472378494576;0.46142670039154382;0.83877320022669966;0.94725659937959894
1.1220184543019633;1.1220184543019633;0.13425212383270257;-8.3993910459092493;0.0033900659577474823;0.40505613034831917;0.0096058181866297242;203.22728916364557;198.58205868107041;198.58205868107041;0.15420091939915184;0.98868056132386706;0.15191944905743401;0.98520456070814855;0.55012382708462637;0.83974328558602651;0.46142678754442762;0.83876895496374426;0.94726383714490059
1.1481536214968828;1.1481536214968828;0.1342360544204711;-8.3982752469590505;0.0035492862883192717;0.40505311959237544;0.0096024796223330815;194.06807872622653;189.64439375729592;189.64439375729592;0.1541986370914156;0.98869459013387284;0.15191968823042043;0.98522069387912869;0.55011799073799406;0.83975172641198159;0.46142686238464259;0.83877798972840245;0.94725257008766384
1.1748975549395295;1.1748975549395295;0.13424924850463854;-8.3959028867295569;0.0037154188439629567;0.40503645611411887;0.0095994712194471359;185.34335874517188;181.10899001874751;181.10899001874751;0.15418936871771491;0.98870618861375248;0.15191223571034282;0.98523158226595375;0.55011898262974968;0.83975027160468962;0.46142681771891825;0.83877639617732569;0.94726182147304427
1.2022644346174129;1.2022644346174129;0.13424742221832264;-8.3963483003190316;0.003890647864855208;0.4050383599886741;0.0095990245159780808;177.00024036635588;172.95774272973412;172.95774272973412;0.15419042101181843;0.98870509716950261;0.15191312301900836;0.98523061304414283;0.5501187693010835;0.8397506103029917;0.46142684008962742;0.83877676210877583;0.94726054112186708
1.2302687708123816;1.2302687708123816;0.13424279212951651;-8.3995409158280641;0.0040754910504222494;0.40505546424374939;0.0096047470324378131;169.03078648200682;165.17336200189897;165.17336200189897;0.15420022375617701;0.98868739112617277;0.15191999630756198;0.98521255421638976;0.55012065256289711;0.83974787134392515;0.46142682634301985;0.83877386568442525;0.94725729482838728
1.2589254117941673;1.2589254117941673;0.13424611091613764;-8.3977975038102421;0.0042665624134089726;0.40504458133173715;0.0095971371401851868;161.42529100885486;157.73933612004831;157.73933612004831;0.15419402383566655;0.98869857107812376;0.15191564213005945;0.98522392989733965;0.5501196008604009;0.83974957009476492;0.46142692941817548;0.83877565659629683;0.9472596217703263
1.288249551693134;1.288249551693134;0.13424532413482654;-8.3986765054276713;0.0044680059520214206;0.40504834442293214;0.009599135532917075;154.1594709119986;150.63989651858941;150.63989651858941;0.15419618048942516;0.98869452199830266;0.15191712585573425;0.98521977245832493;0.55012008311341465;0.83974884118880055;0.46142690920195473;0.83877488454975269;0.9472590701436272
1.318256738556407;1.318256738556407;0.1342336130142211;-8.3969729569962759;0.0046774929005241684;0.40504096845707399;0.0095945661589026052;147.21425472490094;143.85998433428927;143.85998433428927;0.15419149965505435;0.98871092540897898;0.15191532315313253;0.98523798972696985;0.55011479981272915;0.8397564363291512;0.4614269467016473;0.83878300830795116;0.94725085786557905
1.3489628825916535;1.3489628825916535;0.13426486492156969;-8.3975237992814336;0.0048981304767900143;0.40503568221226038;0.0095910963904600223;140.60609866155283;137.38521846440617;137.38521846440617;0.15418949367229345;0.98869747035503841;0.15191073675567857;0.98522106232829298;0.55012397946488234;0.83974348822861578;0.4614270038806052;0.83876911588083358;0.94727276704386831
1.3803842646028848;1.3803842646028848;0.13424637317657456;-8.3982989457658093;0.0051293096013857852;0.40504282924475432;0.0095929457460426464;134.26784966405785;131.20186506244318;131.20186506244318;0.15419303324189287;0.98870065391521444;0.15191499973930314;0.98522609319828325;0.55011935936344514;0.83975006363258009;0.46142701397484071;0.83877617851654551;0.94725980564320111
