OmegaScattering;OmegaStorageRetrieval;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
1;1;0.13349931716918939;-9.7680052903702883;0.0015690775018562734;0.52177171775001763;0.0053051738338308948;255.07745551928053;250;250;0.25634769989055251;0.99203496834441696;0.25365387167274905;0.98949150618884596;0.60084135299901764;0.90337430166363297;0.54213262700278031;0.90228913888300011;0.94673068960961182
1.0232929922807541;1.0232929922807541;0.13349931716918939;-9.7680052903702883;0.0016430135457836355;0.52177142907807872;0.0053072594332050473;243.59707888212557;238.74814650535902;238.74814650535902;0.25634745339025738;0.99203521369912473;0.25365369562686652;0.98949177092354434;0.60084124909606573;0.90337436074469846;0.542132574232841;0.90228920708831351;0.94673068960960693
1.0471285480508996;1.0471285480508996;0.13348891258239737;-9.7709685472062269;0.0017209673570746835;0.52178336549638504;0.0053087718527060831;232.62369051576411;228.00270983897741;228.00270983897741;0.2563557452354015;0.99202971963340669;0.25366051176056231;0.98948635431453169;0.6008409355091503;0.90337494033265819;0.54213263795327127;0.90228978405719007;0.94672324453218126
1.0715193052376064;1.0715193052376064;0.13348891258239737;-9.7709685472062269;0.0018020590336679998;0.52178304054107971;0.0053098629246531911;222.15389977549975;217.74089748902014;217.74089748902014;0.25635548901475042;0.99202997920469338;0.25366033044271458;0.98948663598975728;0.60084083981131187;0.90337501766167505;0.5421326042828023;0.90228987172884867;0.94672324453217571
1.0964781961431851;1.0964781961431851;0.1334954547882079;-9.7678435472062262;0.0018863508103047278;0.52177138510051702;0.0053036636836683668;212.16089766816583;207.94094277566771;207.94094277566771;0.25634713368433382;0.99203743625722351;0.25365406840548155;0.98949445917281642;0.6008399455352349;0.90337625478734374;0.54213265483764039;0.90229129881619741;0.94672792609899103
1.1220184543019633;1.1220184543019633;0.1334954547882079;-9.7678435472062262;0.0019752338744707543;0.52177102472983028;0.005305291906756637;202.61208431675101;198.58205868107041;198.58205868107041;0.25634684085024462;0.99203772285350478;0.25365385819872605;0.98949476949828385;0.60083983071538949;0.90337633078325463;0.54213260360105997;0.90229138596815428;0.94672792609899159
1.1481536214968828;1.1481536214968828;0.13352016448974602;-9.7669437078049803;0.0020681071610872833;0.52176122931718916;0.0053000854892737669;193.51222636011568;189.64439375729592;189.64439375729592;0.25634140737119726;0.99203347967087396;0.25364690819643909;0.98948863079753491;0.60084566738690759;0.90336844394748472;0.54213266545815997;0.9022827239745409;0.94674560076904124
1.1748975549395295;1.1748975549395295;0.13352016448974602;-9.7669437078049803;0.0021655524789592501;0.52176083936711515;0.0053017140879702204;184.80274147841237;181.10899001874751;181.10899001874751;0.25634109164816543;0.99203379022396398;0.25364668211539204;0.98948896754925453;0.60084554428945169;0.9033685277931518;0.54213261215335107;0.90228282011222471;0.94674560076904724
1.2022644346174129;1.2022644346174129;0.13352016448974602;-9.7669437078049803;0.002267588250812488;0.52176042712760851;0.0053036202996688203;176.48524798831991;172.95774272973412;172.95774272973412;0.25634075397980605;0.99203411904326377;0.25364643924829139;0.98948932352860708;0.6008454102569406;0.90336861266558488;0.54213254988934545;0.90228291776001468;0.94674560076907321
1.2302687708123816;1.2302687708123816;0.1334933149814605;-9.7692367521336685;0.0023749999821353878;0.52177488425054142;0.005302965751638803;168.52394408902805;165.17336200189897;165.17336200189897;0.25634964720866754;0.99203539675936558;0.25365601381699121;0.98949234601644009;0.60084017341382456;0.90337605576284752;0.54213271584166367;0.90229105813847343;0.94672639495593913
1.2589254117941673;1.2589254117941673;0.1334933149814605;-9.7692367521336685;0.0024869025695936414;0.5217743402300461;0.0053068063719934125;160.93911717211279;157.73933612004831;157.73933612004831;0.2563491932910541;0.99203578964765227;0.25365567241503334;0.98949276632611605;0.60083998823025586;0.90337613041460385;0.54213260158880894;0.90229114607640115;0.94672639495593525
1.288249551693134;1.288249551693134;0.13349452614784235;-9.7687936512044047;0.0026039531060036785;0.52177229472302689;0.0053052212855767269;153.69641078147069;150.63989651858941;150.63989651858941;0.25634774107280045;0.99203705209532911;0.25365457404719938;0.98949408715547749;0.60083986180328797;0.90337632021179581;0.5421326200744605;0.90229136670022081;0.94672726161934828
1.318256738556407;1.318256738556407;0.13348540425300592;-9.7717472520878896;0.0027274831513666928;0.52178374767246205;0.0053062293789122635;146.77355938877599;143.85998433428927;143.85998433428927;0.25635577415445293;0.99203135173148804;0.25366105654725457;0.98948836781193461;0.60083986200230444;0.90337651091941884;0.54213270954558834;0.9022915153114609;0.94672073365018428
1.3489628825916535;1.3489628825916535;0.13349359631538388;-9.7703138557484746;0.0028555581243458988;0.52177650192142078;0.0053062772664095419;140.17226952206744;137.38521846440617;137.38521846440617;0.25635088728173494;0.99203362635569803;0.25365673469457584;0.98949037151489094;0.6008406876448239;0.90337525359296944;0.542132642935094;0.90229016456949052;0.94672659627001043
1.3803842646028848;1.3803842646028848;0.13349318146705624;-9.7696203437855846;0.0029898762891762765;0.52177406717962138;0.00530508201992655;133.86325528842826;131.20186506244318;131.20186506244318;0.25634899362439306;0.9920361470576885;0.25365557903453961;0.98949317275729243;0.60083988867981897;0.90337633154907504;0.54213264558120999;0.90229136879110661;0.9467262994164487
