g1d;NAtoms;OmegaScattering;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
0.050000000000000003;1000;1;0.22814852714502204;-2.0709157840329713;0.036402937387808254;0.15682311702053836;0.059272725827498235;33.480466227071389;25;25;0.016884052606397006;0.88303622308058505;0.014714951632145179;0.87152960104909882;0.39111292087551824;0.61569678504716796;0.24061268956176343;0.61520005277029599;0.76732903552471232
0.050000000000000003;1258;1;0.21659815813971375;-2.3644591927502034;0.0257438678179144;0.17905306525756803;0.046443926099620891;41.013653084686275;31.450000000000003;31.450000000000003;0.023836248765017918;0.91329241760286073;0.021467123232361423;0.90060828966790174;0.41235237501055666;0.64200573540349237;0.26443024773520996;0.64127252262931733;0.80276902766088332
0.050000000000000003;1584;1;0.20541532899889695;-2.7224670112099369;0.01839504486303243;0.20757878490411924;0.036276437993295274;50.24592694816166;39.600000000000001;39.600000000000001;0.033931334925695854;0.93257819109484608;0.031209085383683107;0.91977181127786356;0.4323926845728579;0.67087923611831546;0.28964873636662852;0.66987427563155932;0.83280750171278894
0.050000000000000003;1995;1;0.19456821187854006;-3.1517402350861587;0.013265499089094263;0.2404734074856531;0.029001588381425608;61.521114129352021;49.875;49.875;0.047552505727958494;0.94623524489946087;0.044417064717144329;0.93406360058602167;0.45167959449212125;0.70169005362239656;0.31636028669338545;0.70040863158564448;0.85786216745143595
0.050000000000000003;2511;1;0.18411449878931221;-3.6680355220992098;0.0096423940810588683;0.27688730680627766;0.022702955474948452;75.236388627869033;62.775000000000006;62.775000000000006;0.065194715010270674;0.95681613512888264;0.061665339544180325;0.94586408629082375;0.47080281582297739;0.73387978640105178;0.34479865421040423;0.73236319457368981;0.87857342173798791
0.050000000000000003;3162;1;0.17405655409664123;-4.2889285273808886;0.007045279310012224;0.31594459479222825;0.017472094286201917;92.02022284418625;79.049999999999997;79.049999999999997;0.087186449205760727;0.96570570808477563;0.083377001698447209;0.95630688550782483;0.49030583591025861;0.76662858908431952;0.37506302123649177;0.76495728536492491;0.89564271300076681
0.050000000000000003;3981;1;0.16450356436416719;-5.0309974570717717;0.0051823151439078455;0.35656166816987633;0.014058709992243377;112.54183142440309;99.525000000000006;99.525000000000006;0.11344517185891285;0.97316555282717954;0.10952148521389407;0.96541336593946447;0.51042923826336217;0.7985865525841277;0.4067424775491198;0.7968635945170055;0.90961287880110453
0.050000000000000003;5011;1;0.15560865672683524;-5.9178378958679838;0.0038268588261164797;0.3981168246082944;0.011101930420848088;137.7287693046581;125.27500000000002;125.27500000000002;0.14392733038830802;0.97952771870850852;0.14009597257967721;0.97337991472297847;0.53153892371071276;0.82897004088692627;0.43974500630607244;0.82730537067009102;0.92123639750014996
0.050000000000000003;6309;1;0.14745806450402504;-6.9791610373609112;0.0028349336428965151;0.43995633234545822;0.0087527776708020075;168.83074005990613;157.72499999999999;157.72499999999999;0.17833712988544381;0.98472755030076342;0.1747722546402474;0.9800104709126678;0.55379601144397117;0.85689851842855014;0.47370575131846293;0.85537949268236801;0.93115325268787374
0.050000000000000003;7943;1;0.14008147890111886;-8.2500579489820343;0.0021069006380150896;0.48141196425072591;0.0068852492221629291;207.31086710715979;198.57499999999999;198.57499999999999;0.21613546503167669;0.98881420557222865;0.21295641471915672;0.98529139902119234;0.57712609719844121;0.88177261981823207;0.50813258726001187;0.88045331813385952;0.93978300458817787
0.050000000000000003;10000;1;0.13350041256737294;-9.7691741521778646;0.0015692701165542656;0.52192008987856431;0.0053058603972861596;255.078576853991;250;250;0.25667640075049081;0.99193106017774491;0.25394380071704659;0.98935391011618357;0.6013666174392609;0.90335212515284224;0.54258431825773845;0.90225214124483799;0.94747248916841231
