kd_ensemble;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
0.001;0.13262271869069051;-6.9179788139987632;0.0034937544708094339;0.45207666949949465;0.012130343825093714;254.17998000763157;250;250;0.1730837406797949;0.89205575735444465;0.15386627231225994;0.88897011185419605;0.54945337960139673;0.79069776080980259;0.43391748185460854;0.78972574919713079;0.94609606758382947
0.002;0.13324598202841997;-7.2179197062960698;0.002948382375246199;0.40875646378526975;0.010699220724363936;254.81811186841992;250;250;0.15444361684635236;0.97299918753282355;0.1497260036786906;0.96945413954948323;0.54864246388408777;0.83034814538282498;0.45501674233197509;0.82935020944369864;0.94654881867904272
0.0030000000000000001;0.1337406147308863;-7.4002864589205792;0.0027939364896298253;0.40454912827715039;0.010099814331352335;255.3244573907316;250;250;0.15322231144069409;0.98516664903833828;0.1504067562362203;0.98162437847334272;0.54918864240229093;0.83685093384802212;0.45904627336936737;0.83586264887303952;0.94690276593515765
0.0040000000000000001;0.1339727075807966;-7.5554039699247868;0.0027374040555791525;0.40429996970109489;0.009853049478959458;255.56201981592582;250;250;0.15343471146704948;0.9876095311063513;0.15099367326285676;0.9840907042425211;0.54956524451886102;0.83849943904528579;0.4602702390632965;0.83751700758707659;0.94706722072974725
0.0050000000000000001;0.13407493500108073;-7.6802653533628957;0.0027137226232852862;0.40445046889841074;0.0097439977227076723;255.66665105019018;250;250;0.15366191047542038;0.98827866915091001;0.15132245892231688;0.98477533211798951;0.54976496289532262;0.83908260202688989;0.46075988610790608;0.83810340273655548;0.94713932835452741
0.0060000000000000001;0.13414972849885051;-7.7750670653990301;0.0027016284285678212;0.40456668946658347;0.0096819555069096088;255.74320121834054;250;250;0.15379706804121643;0.98853307536970125;0.1514958183059549;0.98503710269271971;0.54987760120741624;0.83933999898584521;0.46099659489210071;0.83836219893272357;0.94719195824111868
0.0070000000000000001;0.13416471668486304;-7.8537096244505431;0.002696513105839563;0.40468167936894217;0.0096565820351252468;255.75854122266483;250;250;0.15390014168076935;0.98862933283940635;0.15161317001657548;0.98513989890316234;0.54994100856266237;0.83948012240912151;0.46112752080880604;0.83850360971264681;0.94720249209004537
0.0080000000000000002;0.13420410384624087;-7.9154232425371935;0.0026935434552347697;0.4047500063645425;0.0096369102151664596;255.79885258924512;250;250;0.15396287807016187;0.98867081196312978;0.15168152167020685;0.98518242560446678;0.54998911678631224;0.83955191515982885;0.46120733431141103;0.83857538310272484;0.94723015330406157
0.0090000000000000011;0.13419929613399259;-7.9633692187945169;0.0026912036007557681;0.40479631441689473;0.0096255664548445911;255.79393209151036;250;250;0.15400376357484558;0.98871551024052318;0.15172940424077441;0.9852317938128452;0.5500108362552556;0.83961262170720263;0.46125953475455622;0.83863717648735447;0.94722677848480774
0.01;0.13420254816341148;-8.0078842563311348;0.0026913295874595351;0.40485349503906748;0.0096243446228046342;255.79726041199271;250;250;0.15404691115914076;0.98871188978296909;0.15177153468001212;0.98522932746909786;0.55003301163609197;0.83964441180172844;0.46129566655934867;0.83866905585759111;0.9472290613260933
0.010999999999999999;0.13420574244151756;-8.0442490026111528;0.0026914086860415848;0.4048940467960439;0.0096232664067362299;255.80052962316063;250;250;0.15407761367158557;0.98870945514898545;0.15180154612703559;0.98522778559251711;0.55004909948498637;0.83966703172403134;0.46132164733018105;0.83869175999400547;0.94723130343059736
0.012;0.13420545594093672;-8.0713632806892335;0.0026904321913415715;0.40490875583675118;0.0096171703481862138;255.80023640182671;250;250;0.15409133873696484;0.98872800335934918;0.1518182322049422;0.98524831732494156;0.55005709905356515;0.83968949797797821;0.4613409798840849;0.83871470921450475;0.94723110234015162
0.013000000000000001;0.13422061049710424;-8.0939298853034938;0.0026894803241138176;0.40491342808684749;0.0096090661212185;255.81574641993308;250;250;0.15409851135036481;0.98874022001866801;0.15182719961708832;0.98526065103826765;0.55006692515488975;0.83970135567737803;0.46135574636582771;0.83872657174564269;0.94724173694134028
