g1d;NAtoms;OmegaScattering;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
0.050000000000000003;1000;1;0.2324685637204312;-2.022570337817438;0.070078585340614424;0.1504206292901783;0.08024299310913828;33.938741039760465;25;25;0.012793079246793862;0.73115133826095613;0.0092914831233450283;0.72628981217900401;0.38818619874754773;0.56585166562201306;0.21959361324435092;0.56569144898209278;0.76816706801340739
0.050000000000000003;1002;1;0.23237658361998909;-2.0242289801043674;0.069847851814086009;0.15011983772777232;0.080119755660033043;34.000054750875812;25.050000000000004;25.050000000000004;0.012764145485223775;0.73209159538626045;0.0092820207980808256;0.72719484503103005;0.38834747675635667;0.56600348428111014;0.21974352212193632;0.56584253863917877;0.76848521906423339
0.050000000000000003;1004;1;0.2322808800228813;-2.025465454619102;0.06960432962488268;0.14950010374018669;0.080002981480801066;34.060935740008333;25.100000000000001;25.100000000000001;0.012689745100671442;0.73352477430773222;0.0092454287146689039;0.72857481701344085;0.38849926310839478;0.56616557109285526;0.21989209347059399;0.56600388817016145;0.76880197623166935
0.050000000000000003;1006;1;0.23218521533166486;-2.0271617312831083;0.069377413820242095;0.14922981773945843;0.079881017600292661;34.12178287844177;25.150000000000002;25.150000000000002;0.012665143394331625;0.73442739828716797;0.0092385068351158346;0.72944352444130989;0.38866006834433875;0.56631626431068161;0.22004139651458299;0.56615385638134108;0.76911774718392267
0.050000000000000003;1009;1;0.23204350662981579;-2.0305317331952253;0.069068643735012494;0.14939782768076998;0.07970029030468824;34.213173607589923;25.225000000000001;25.225000000000001;0.012709498680149771;0.73487671141640276;0.009276343245843784;0.72987483450719948;0.3889158636548985;0.56651803143259083;0.22026427812270333;0.56635457359012009;0.76958975070903413
0.050000000000000003;1011;1;0.23194868659222248;-2.0321206082498104;0.068841452433817923;0.14903534312879962;0.079583561356848187;34.274016642065838;25.275000000000002;25.275000000000002;0.012671563194542065;0.735919571583182;0.0092613725417107374;0.73087845591930001;0.38907277704725024;0.56666995526687558;0.22041197434921841;0.56650577308946726;0.7699031574807248
0.050000000000000003;1013;1;0.23185417135799052;-2.0339388360184829;0.068623209180653205;0.14886302862372119;0.07946214588364521;34.334854749006517;25.325000000000006;25.325000000000006;0.01266077673156955;0.73667370805436061;0.009262673857880644;0.73160391769521038;0.38923452157981248;0.56681698670687874;0.22056055116034992;0.56665207974140086;0.77021562293829204
0.050000000000000003;1016;1;0.23171812018001203;-2.0360393037003677;0.068277151751303805;0.14815483705098886;0.079285679120021532;34.426657592598787;25.399999999999999;25.399999999999999;0.012580630237383063;0.73851948961030522;0.0092263821840435772;0.73337996665918914;0.38946400495840533;0.56705251568764159;0.22078188534360349;0.56688649665373558;0.7706831330346432
0.050000000000000003;1018;1;0.23161903373409573;-2.0383478810002122;0.068078375713849115;0.14830370025924611;0.079166460022000076;34.486909922518457;25.450000000000006;25.450000000000006;0.012615186044724547;0.73875736506879519;0.0092546046472536583;0.73360825709928978;0.38963292343349304;0.56718523548363164;0.22092908447480203;0.56701852227462679;0.77099267811065464
0.050000000000000003;1020;1;0.23152646099668334;-2.0402912248772767;0.067868806438152615;0.14822118349832838;0.079048612465161885;34.547826847349214;25.5;25.5;0.012616999524937072;0.7393702638188383;0.0092633688909576507;0.73419745103809475;0.38979542359874175;0.56732791963971752;0.22107656137895934;0.56716048469193203;0.77130198187647858
0.050000000000000003;1023;1;0.23138527529306871;-2.0429504548107635;0.067547757298696817;0.1479043574036405;0.078870095557394548;34.638881148780769;25.574999999999999;25.574999999999999;0.012592176617899978;0.74059820557028566;0.0092600147969369301;0.73537840819145384;0.39003268464248747;0.56754793857904218;0.22129651753678947;0.56737941780349699;0.77176389057129147
0.050000000000000003;1025;1;0.23129200601906613;-2.0445837772366779;0.067330024420799578;0.14761097455211697;0.078753836624223167;34.699630081928433;25.625;25.625;0.012564025277581617;0.74155783201990366;0.0092509096732355522;0.73630142162657375;0.39018806967042247;0.56769908484330456;0.22144336839562326;0.56752982884040593;0.77207073794673986
0.050000000000000003;1028;1;0.2311528947619807;-2.0477202213277463;0.06702915605649655;0.14763746919192738;0.078578872921388682;34.79077035672583;25.699999999999999;25.699999999999999;0.012587844994645266;0.7422341781089411;0.0092766263949125901;0.73695111425814086;0.39043316702120773;0.56790635587299654;0.22166297470611634;0.56773602610988205;0.77252932855646828
0.050000000000000003;1030;1;0.23106014993471022;-2.0491674697866085;0.06680868545360194;0.14721006522549818;0.078463629125640533;34.851484067005288;25.750000000000004;25.750000000000004;0.012540504836103335;0.7434128170899994;0.0092559552834956642;0.73808474255744028;0.39058348027009138;0.56806091984342699;0.22180839433343236;0.56788985079463727;0.77283388190926305
0.050000000000000003;1032;1;0.23096638944429274;-2.0512297666539796;0.066609269638918348;0.14721929205997264;0.07834969088947108;34.912049897657567;25.800000000000001;25.800000000000001;0.01255518171111205;0.7438822488679846;0.0092724505397939177;0.73853574987188531;0.39074557064822474;0.5682005304366895;0.22195471424169375;0.56802874021958449;0.77313738644706365
0.050000000000000003;1035;1;0.23082978213689773;-2.0540507650835025;0.066303760555737307;0.14703748944841585;0.078173168633195095;35.003271001280652;25.875;25.875;0.012549286287345827;0.74490269625504724;0.0092804035744901772;0.7395164443613137;0.39098243366520397;0.56841534268997962;0.22217282040053885;0.56824246122214317;0.77359135794164069
